,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a,Mrg Ebitd
355,BBDC3,19.16,9.65,1.26,0.0,0.0819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1303,96991300.0,135134000000.0,0.0,0.2012,0.0
356,BRIV3,7.96,10.02,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0466,29497.5,1510290000.0,0.0,0.2311,0.0
357,RPAD6,5.39,10.19,0.45,0.0207471,0.0001,0.44,-129.19,-106.82,-117.46,-104.89,-104.89,-19.4227,203.691,0.73,-0.0042,0.0437,6718.53,1024660000.0,0.0,0.0278,-19.4227
358,RPAD3,5.5,10.39,0.45,0.0211705,0.0001,0.449,-131.83,-109.0,-119.85,-107.07,-107.07,-19.4227,203.691,0.73,-0.0042,0.0437,20416.0,1024660000.0,0.0,0.0278,-19.4227
359,BRGE8,7.6,10.43,0.46,150.71,0.0387,0.072,1.18,-1.29,-0.85,2.73,2.74,-11.7258,2.2765,1.1,-0.0721,0.0438,20477.7,1224080000.0,0.0,0.0452,-11.7258
360,BBDC4,20.73,10.44,1.36,0.0,0.0833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1303,984522000.0,135134000000.0,0.0,0.2012,0.0
361,BGIP3,47.99,10.82,1.49,0.0,0.0148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1379,22688.7,491540000.0,0.0,0.1276,0.0
362,ITUB3,22.77,11.21,1.77,0.0,0.056100000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1576,13187900.0,126416000000.0,0.0,-0.2241,0.0
363,ITSA4,9.61,11.55,1.53,161.59,0.0572,1.228,20.6,456.66,-25.87,463.21,94.89,0.0354,1.4426,2.36,0.0029,0.1324,299149000.0,52896000000.0,0.09,0.0142,0.0354
364,ITUB4,23.79,11.71,1.85,0.0,0.0537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1576,929916000.0,126416000000.0,0.0,-0.2241,0.0
365,BRGE3,9.0,12.35,0.54,178.47,0.0,0.085,1.4,-1.52,-1.01,2.5,2.51,-11.7258,2.2765,1.1,-0.0721,0.0438,33984.1,1224080000.0,0.0,0.0452,-11.7258
366,ITSA3,10.73,12.89,1.71,180.42,0.0512,1.371,23.0,509.88,-28.89,516.43,105.8,0.0354,1.4426,2.36,0.0029,0.1324,2920840.0,52896000000.0,0.09,0.0142,0.0354
367,BRGE11,10.5,14.41,0.63,208.21,0.0336,0.099,1.63,-1.78,-1.18,2.24,2.25,-11.7258,2.2765,1.1,-0.0721,0.0438,5836.49,1224080000.0,0.0,0.0452,-11.7258
368,BSLI3,189.0,14.98,3.69,0.0,0.0276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2462,2740.67,1860250000.0,0.0,0.2211,0.0
369,RPAD5,8.6,16.25,0.71,0.033103,0.061200000000000004,0.702,-206.13,-170.43,-187.41,-168.5,-168.5,-19.4227,203.691,0.73,-0.0042,0.0437,8306.7,1024660000.0,0.0,0.0278,-19.4227
370,BPAN4,8.45,16.52,1.99,0.0,0.019799999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1206,34260400.0,5112740000.0,0.0,0.1497,0.0
371,BPAC5,17.72,19.66,1.88,0.0,0.022400000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0956,296028.0,25573200000.0,0.0,0.6838,0.0
372,MERC4,12.2,20.17,0.89,0.0,0.0405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0441,75179.6,246977000.0,0.0,-0.1554,0.0
373,BRGE5,17.0,23.34,1.02,337.11,0.0,0.161,2.64,-2.87,-1.91,1.14,1.15,-11.7258,2.2765,1.1,-0.0721,0.0438,642.54,1224080000.0,0.0,0.0452,-11.7258
374,BPAC11,80.65,29.83,2.85,0.0,0.0148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0956,323886000.0,25573200000.0,0.0,0.6838,0.0
375,MERC3,21.01,34.74,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0441,6806.67,246977000.0,0.0,-0.1554,0.0
376,BMIN4,18.94,44.32,0.74,0.0,0.0739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0167,28824.2,123747000.0,0.0,-0.1966,0.0
377,BMIN3,20.25,47.38,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0167,96649.3,123747000.0,0.0,-0.1966,0.0
378,BPAC3,49.0,54.37,5.2,0.0,0.008100000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0956,509864.0,25573200000.0,0.0,0.6838,0.0
379,BRGE6,44.99,61.76,2.71,892.14,0.015700000000000002,0.425,6.99,-7.61,-5.05,-3.59,-3.6,-11.7258,2.2765,1.1,-0.0721,0.0438,2331.93,1224080000.0,0.0,0.0452,-11.7258
380,BIDI3,19.14,556.7,6.4,0.0,0.0049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0115,5296190.0,2115160000.0,0.0,0.1558,0.0
381,BIDI11,60.41,585.69,6.73,0.0,0.0046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0115,35568500.0,2115160000.0,0.0,0.1558,0.0
382,BIDI4,20.71,602.36,6.92,0.0,0.0045000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0115,35257600.0,2115160000.0,0.0,0.1558,0.0
383,CIEL3,4.74,18.51,1.41,11.95,0.016399999999999998,0.176,2.02,11.37,-3.47,13.1,6.52,0.1051,0.0645,1.12,0.0775,0.0761,301258000.0,9145920000.0,0.95,-0.0518,0.1051
384,B3SA3,60.5,36.95,4.88,164.12,0.0239,2.819,29.14,29.27,-35.65,27.55,22.22,0.5608,0.4439,1.39,0.1419,0.132,694589000.0,25545600000.0,0.26,0.3569,0.5608
385,APER3,28.12,-91.81,1.84,34.17,0.0019,1.238,5.11,-102.74,19.01,-78.59,81.38,-0.0333,-0.0372,2.63,-0.0176,-0.02,2095690.0,175788000.0,0.0,-0.1222,-0.0333
386,PEAB3,60.0,-35.43,1.62,70.67,0.0604,1.221,3.87,-55.88,6.26,-48.49,-48.49,-0.1265,-0.2021,3.55,-0.027,-0.0458,1406.12,475574000.0,0.0,-0.1638,-0.1265
387,PEAB4,60.0,-35.43,1.62,70.67,0.0665,1.221,3.87,-55.88,6.26,-48.49,-48.49,-0.1265,-0.2021,3.55,-0.027,-0.0458,279.07,475574000.0,0.0,-0.1638,-0.1265
388,BBSE3,26.33,0.0,0.0,0.0,0.15710000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116474000.0,0.0,0.0,0.0,0.0
389,CSAB3,50.0,0.0,0.0,0.0,0.0621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14662.9,0.0,0.0,0.0,0.0
390,IRBR3,7.69,0.0,0.0,0.0,0.061500000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,407450000.0,0.0,0.0,0.0,0.0
391,WIZS3,10.69,8.87,6.3,25.07,0.0626,2.603,-58.98,4.43,-11.1,4.12,3.64,0.5655,0.2905,0.88,0.7762,0.7101,10228200.0,271409000.0,0.0,0.1606,0.5655
392,PSSA3,56.03,11.44,2.13,10.03,0.039599999999999996,0.548,2.45,1.26,26.69,0.31,0.31,0.7949,0.0878,1.41,0.7399,0.1864,48166200.0,8496540000.0,0.0,0.034,0.7949
393,SULA4,13.16,12.19,2.08,7.26,0.0298,0.546,1.59,12.62,-21.3,2.14,1.97,0.0575,0.0595,1.93,0.0921,0.1704,162729.0,7490030000.0,0.29,0.0838,0.0575
394,SULA11,44.62,13.78,2.35,8.2,0.0264,0.618,1.8,14.26,-24.08,3.79,3.47,0.0575,0.0595,1.93,0.0921,0.1704,151574000.0,7490030000.0,0.29,0.0838,0.0575
395,SULA3,18.14,16.81,2.86,10.0,0.0216,0.753,2.19,17.39,-29.37,6.92,6.35,0.0575,0.0595,1.93,0.0921,0.1704,133031.0,7490030000.0,0.29,0.0838,0.0575
396,GSHP3,48.0,-0.19,-0.19,8.7,0.0,0.053,0.69,5.76,-0.05,99.67,86.8,0.1512,-4.592,1.47,0.011,1.0157,46277.9,-481154000.0,-3.7,-0.1949,0.1512
397,BRPR3,9.26,9.97,0.64,136.15,0.0092,0.459,3.36,20.91,-3.69,23.23,23.23,0.651,1.3656,9.43,0.0252,0.0637,28484500.0,7166500000.0,0.25,-0.1178,0.651
398,IGTA3,33.47,23.15,1.95,83.55,0.0125,0.946,7.24,16.38,-3.26,21.06,15.18,0.5101,0.3639,2.44,0.0709,0.084,73080500.0,3039080000.0,0.93,0.0239,0.5101
399,MULT3,21.51,25.22,2.2,102.67,0.013300000000000001,1.228,18.73,16.05,-4.3,19.07,14.83,0.6398,0.4065,1.73,0.0863,0.0871,126855000.0,5884370000.0,0.6,0.0413,0.6398
400,AHEB6,25.0,31.09,9.85,23.37,0.0,0.797,-12.05,26.37,-1.08,23.2,23.2,0.0886,0.0752,0.73,0.0363,0.3169,300.65,21683000.0,0.0,-0.1939,0.0886
401,AGRO3,21.0,32.25,1.18,19.86,0.0405,0.674,4.78,8.78,-4.77,12.45,10.78,0.2263,0.1867,1.96,0.0844,0.0367,3911980.0,1103450000.0,0.57,0.1549,0.2263
402,LOGG3,31.83,32.56,1.1,238.78,0.0067,0.808,6.35,30.76,-11.38,34.23,34.0,0.7762,0.7582,3.04,0.03,0.0338,15197900.0,2957040000.0,0.29,0.0898,0.7762
403,AHEB3,28.7,35.69,11.31,26.83,0.0,0.915,-13.84,30.28,-1.24,27.1,27.1,0.0886,0.0752,0.73,0.0363,0.3169,22080.9,21683000.0,0.0,-0.1939,0.0886
404,CCPR3,15.31,37.87,1.33,51.98,0.0032,0.472,3.89,10.7,-2.01,14.37,11.5,0.4858,0.2674,4.14,0.0513,0.035,4130650.0,1830530000.0,0.85,0.0352,0.4858
405,BRML3,9.43,49.92,0.78,74.08,0.0,0.441,8.25,11.18,-1.36,14.17,13.69,0.6626,0.224,2.89,0.0423,0.0157,171775000.0,10538200000.0,0.32,-0.039,0.6626
406,SCAR3,39.36,56.06,1.52,72.73,0.009300000000000001,0.728,7.7,14.65,-2.21,21.71,16.73,0.4964,0.1331,2.02,0.0584,0.027,420854.0,1499310000.0,1.04,-0.0385,0.4964
407,ALSO3,26.6,72.2,1.08,74.19,0.0,0.647,4.5,15.47,-4.71,12.55,8.61,0.4797,0.1251,9.44,0.0478,0.0149,47555200.0,6576040000.0,0.0,0.2449,0.4797
408,MOAR3,195.0,-35.06,2.73,0.0266623,0.031400000000000004,1.591,6.45,-49.75,-96.18,-44.67,-45.45,-53.5938,-77.7176,2.61,-0.0503,-0.0778,86982.3,876077000.0,0.34,-0.2983,-53.5938
409,BAHI3,122.04,-14.73,2.74,33.67,0.0,0.65,-10.34,-29.89,-1.07,-28.19,-34.13,-0.1126,-0.2267,0.69,-0.0242,-0.1858,139273.0,98985000.0,0.25,1.5525,-0.1126
410,HBTS5,25.0,-3.47,0.98,95.57,0.002,0.184,-1.62,-3.72,-0.28,-5.73,-5.86,-2.5693,-2.7476,0.56,-0.0501,-0.2816,106168.0,233449000.0,0.55,-0.2145,-2.5693
411,GPIV33,5.56,-3.47,0.41,-28.69,0.0,0.193,0.76,-1.38,2.36,0.44,0.44,2.0767,2.4815,16.05,-0.1893,-0.1183,370305.0,1485140000.0,0.0,-0.1062,2.0767
412,JBDU3,2.55,-2.95,0.19,0.0,0.0,0.067,0.0,-3.76,0.0,-5.11,-5.11,0.0,0.0,0.0,0.0,-0.0642,22083.4,67653000.0,0.0,0.0,0.0
413,JBDU4,1.37,-1.58,0.1,0.0,0.0,0.036,0.0,-2.02,0.0,-3.37,-3.37,0.0,0.0,0.0,0.0,-0.0642,78139.7,67653000.0,0.0,0.0,0.0
414,BTTL3,8.05,6.17,12.2,6.22,0.0,0.878,-29.1,8.14,-1.6,10.5,10.5,0.0764,0.1009,0.93,0.1261,1.9768,111578.0,9807000.0,4.27,-0.0265,0.0764
415,BRAP3,40.01,43.79,1.27,0.0,0.0182,1.213,0.0,-774.12,0.0,-775.79,-775.79,0.0,0.0,0.0,0.0,0.029,666016.0,10969800000.0,0.0,0.0,0.0
416,BRAP4,44.77,49.0,1.42,0.0,0.0179,1.357,0.0,-866.22,0.0,-867.89,-867.89,0.0,0.0,0.0,0.0,0.029,103539000.0,10969800000.0,0.0,0.0,0.0
417,UGPA3,19.6,93.72,2.4,2.6,0.012199999999999999,0.641,2.38,13.66,-2.45,21.52,12.33,0.019,0.0031,2.41,0.0651,0.0256,122956000.0,9116420000.0,2.14,0.0302,0.019
418,MAPT4,47.0,-234.75,-7.64,0.0,0.0,55.877,0.0,-266.62,0.0,-266.62,-266.62,0.0,0.0,0.0,0.0,0.0325,32804.8,-5657000.0,0.0,0.0,0.0
419,TELB3,161.98,-173.71,6.84,445.85,0.0,2.573,11.21,-40.61,-7.67,-38.46,-131.11,-1.098,-0.2567,4.88,-0.0813,-0.0394,383641.0,1606030000.0,0.18,0.2757,-1.098
420,TELB4,38.35,-41.13,1.62,105.56,0.0,0.609,2.65,-9.61,-1.82,-7.47,-25.47,-1.098,-0.2567,4.88,-0.0813,-0.0394,2801660.0,1606030000.0,0.18,0.2757,-1.098
421,TESA3,17.36,-3.02,0.49,3.2,0.0,0.154,-14.67,2.16,-0.38,7.67,5.61,0.148,-0.1059,0.96,0.0814,-0.1616,1047140.0,769534000.0,1.25,0.0981,0.148
422,FRTA3,4.7,14.12,-0.14,8.92,0.0,0.267,-0.12,-3.7,-0.1,-28.58,-41.42,-0.2412,0.0632,0.07,-0.0849,-0.0099,30287.0,-67585000.0,-0.95,-0.3682,-0.2412
423,SLCE3,24.73,14.13,1.65,13.95,0.0319,0.615,3.51,8.22,-4.47,10.96,9.15,0.1696,0.1019,1.61,0.0887,0.1166,28594400.0,2859830000.0,0.86,0.2103,0.1696
