,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a,Mrg Ebitd
269,ELET6,36.92,6.73,0.76,17.72,0.0483,0.315,2.75,4.32,-0.96,6.86,6.02,0.4106,0.2674,1.8,0.082,0.1136,133385000.0,75808300000.0,0.68,-0.1715,0.4106
270,ELET5,39.01,7.11,0.81,18.73,0.0,0.332,2.91,4.56,-1.02,7.1,6.23,0.4106,0.2674,1.8,0.082,0.1136,5556.35,75808300000.0,0.68,-0.1715,0.4106
271,TAEE11,28.17,7.26,1.79,39.27,0.0857,0.717,3.66,6.83,-2.27,10.57,10.47,0.5748,0.5412,3.23,0.1188,0.247,73579600.0,5412410000.0,1.26,0.1447,0.5748
272,TAEE3,9.42,7.28,1.8,39.39,0.08539999999999999,0.719,3.67,6.85,-2.27,10.59,10.49,0.5748,0.5412,3.23,0.1188,0.247,677774.0,5412410000.0,1.26,0.1447,0.5748
273,TAEE4,9.5,7.34,1.81,39.73,0.08470000000000001,0.725,3.7,6.91,-2.29,10.65,10.55,0.5748,0.5412,3.23,0.1188,0.247,1182980.0,5412410000.0,1.26,0.1447,0.5748
274,CESP5,35.0,7.56,1.6,63.92,0.0529,0.896,27.49,17.74,-2.57,19.29,11.82,0.3604,0.8458,1.56,0.0539,0.2114,16514.8,7176750000.0,0.25,-0.046,0.3604
275,CESP3,35.76,7.72,1.63,65.3,0.051699999999999996,0.915,28.09,18.12,-2.63,19.68,12.06,0.3604,0.8458,1.56,0.0539,0.2114,447598.0,7176750000.0,0.25,-0.046,0.3604
276,TRPL3,26.11,7.74,1.33,43.7,0.0509,0.767,5.49,6.34,-4.15,7.17,7.12,0.6888,0.571,2.71,0.1329,0.1716,106502.0,12947300000.0,0.32,0.1459,0.6888
277,ENBR3,17.3,7.99,1.12,6.75,0.0337,0.386,6.55,4.35,-1.09,6.83,5.4,0.1554,0.0926,1.29,0.1053,0.1405,43167300.0,9346000000.0,0.91,0.1326,0.1554
278,EKTR4,20.89,8.17,1.42,6.13,0.0,0.457,19.65,3.88,-1.33,7.41,6.11,0.158,0.0751,1.07,0.1386,0.1735,7671.67,2857000000.0,1.55,0.0895,0.158
279,EQTL3,23.78,8.88,2.68,12.82,0.013500000000000002,0.593,4.87,4.48,-1.4,6.64,5.87,0.2858,0.162,1.65,0.1629,0.3013,166364000.0,8983150000.0,1.95,0.2783,0.2858
280,CEBR3,67.5,9.18,1.23,3.52,0.024700000000000003,0.274,7.17,5.85,-1.04,6.27,4.64,0.0602,0.0496,1.09,0.0565,0.1334,53639.7,794301000.0,0.58,0.0548,0.0602
281,CSRN6,16.73,9.39,2.31,11.09,0.0108,0.629,6.29,6.27,-1.28,9.57,7.85,0.177,0.1181,1.74,0.1148,0.2456,119.63,1219000000.0,1.5,0.1146,0.177
282,CEBR6,69.9,9.51,1.27,3.65,0.0263,0.283,7.43,6.05,-1.08,6.48,4.8,0.0602,0.0496,1.09,0.0565,0.1334,17764.4,794301000.0,0.58,0.0548,0.0602
283,CBEE3,16.2,9.68,0.73,4.57,0.0,0.241,-7.33,5.07,-0.59,13.07,7.18,0.0902,0.0472,0.89,0.0529,0.0758,12273.0,3678530000.0,1.24,0.0645,0.0902
284,ALUP4,6.98,9.74,1.16,12.59,0.033,0.307,2.66,2.93,-0.8,5.67,5.32,0.4299,0.272,2.17,0.1241,0.1186,221964.0,5311410000.0,1.6,0.35,0.4299
285,CSRN5,17.4,9.77,2.4,11.54,0.0104,0.654,6.54,6.52,-1.33,9.82,8.06,0.177,0.1181,1.74,0.1148,0.2456,374.65,1219000000.0,1.5,0.1146,0.177
286,EKTR3,24.99,9.77,1.69,7.34,0.0,0.547,23.51,4.64,-1.59,8.17,6.74,0.158,0.0751,1.07,0.1386,0.1735,849.56,2857000000.0,1.55,0.0895,0.158
287,CSRN3,17.89,10.04,2.47,11.86,0.0092,0.672,6.73,6.7,-1.37,10.0,8.21,0.177,0.1181,1.74,0.1148,0.2456,3916.44,1219000000.0,1.5,0.1146,0.177
288,NEOE3,18.9,10.34,1.14,8.15,0.0216,0.378,6.74,4.79,-0.94,9.34,7.08,0.1702,0.0814,1.28,0.0909,0.1104,53753100.0,20081000000.0,1.35,0.2041,0.1702
289,NEOE3,18.9,10.34,1.14,8.15,0.0216,0.378,6.74,4.79,-0.94,9.34,7.08,0.1702,0.0814,1.28,0.0909,0.1104,53753100.0,20081000000.0,1.35,0.2041,0.1702
290,ALUP11,23.52,10.94,1.3,14.15,0.029300000000000003,0.345,2.98,3.29,-0.89,6.03,5.66,0.4299,0.272,2.17,0.1241,0.1186,20760200.0,5311410000.0,1.6,0.35,0.4299
291,CEEB5,40.03,11.26,1.85,10.46,0.0,0.501,10.36,6.18,-1.04,10.77,8.19,0.1692,0.0929,1.24,0.0897,0.1639,752.54,5684000000.0,1.58,0.1091,0.1692
292,CPFE3,28.55,11.5,2.24,11.11,0.06309999999999999,0.645,9.98,7.03,-1.66,10.32,7.88,0.1579,0.1003,1.25,0.1171,0.1948,79531600.0,14677800000.0,1.62,0.1306,0.1579
293,CEEB3,41.0,11.53,1.89,10.72,0.012199999999999999,0.513,10.61,6.33,-1.06,10.92,8.3,0.1692,0.0929,1.24,0.0897,0.1639,3920.44,5684000000.0,1.58,0.1091,0.1692
294,COCE5,61.4,12.46,1.52,8.47,0.0346,0.504,-31.14,8.51,-1.35,13.01,8.53,0.0995,0.068,0.95,0.0667,0.1221,4012780.0,3142550000.0,0.91,0.0957,0.0995
295,EMAE4,29.9,12.65,1.08,25.43,0.0263,0.704,1.95,34.64,8.35,21.79,18.36,0.0734,0.2009,5.85,0.0294,0.0857,136997.0,1018770000.0,0.07,0.2459,0.0734
296,CEBR5,94.99,12.92,1.72,4.95,0.041299999999999996,0.385,10.09,8.23,-1.46,8.65,6.41,0.0602,0.0496,1.09,0.0565,0.1334,4059.67,794301000.0,0.58,0.0548,0.0602
297,EQPA3,3.47,13.26,2.28,13.72,0.0231,0.668,2.91,5.9,-1.99,7.55,6.04,0.2324,0.1035,2.61,0.1431,0.1723,150954.0,3356070000.0,1.2,0.0741,0.2324
298,EGIE3,43.11,13.34,4.73,33.28,0.0547,1.093,13.59,8.72,-2.11,11.74,9.53,0.3815,0.2496,1.47,0.1506,0.3549,86994500.0,7430560000.0,2.29,0.1406,0.3815
299,CMIG4,10.65,13.45,0.96,6.61,0.0473,0.308,3.17,4.62,-0.75,8.15,6.39,0.1431,0.0492,1.56,0.0743,0.0713,112336000.0,16872600000.0,0.94,0.0734,0.1431
300,CMIG3,10.83,13.68,0.97,6.73,0.04650000000000001,0.313,3.22,4.7,-0.77,8.23,6.45,0.1431,0.0492,1.56,0.0743,0.0713,18315700.0,16872600000.0,0.94,0.0734,0.1431
301,ALUP3,9.84,13.73,1.63,17.75,0.023399999999999997,0.432,3.74,4.13,-1.12,6.87,6.45,0.4299,0.272,2.17,0.1241,0.1186,170851.0,5311410000.0,1.6,0.35,0.4299
302,GEPA3,41.5,13.78,2.23,27.63,0.0799,0.866,-14.67,7.48,-3.03,7.52,5.3,0.3695,0.2006,0.85,0.2401,0.1616,8834.74,1760330000.0,0.72,0.0177,0.3695
303,ENMT4,29.9,14.25,2.81,13.5,0.001,0.752,12.67,8.82,-1.96,13.18,10.28,0.1531,0.0948,1.21,0.1034,0.1969,3486.53,2333400000.0,1.89,0.1026,0.1531
304,ENMT3,29.9,14.25,2.81,13.5,0.0231,0.752,12.67,8.82,-1.96,13.18,10.28,0.1531,0.0948,1.21,0.1034,0.1969,4439.02,2333400000.0,1.89,0.1026,0.1531
305,TIET4,2.98,14.98,3.82,29.4,0.0791,0.701,-64.37,7.26,-1.34,10.54,7.6,0.4048,0.1963,0.96,0.159,0.255,5097920.0,1556800000.0,3.04,0.0911,0.4048
306,TIET11,14.93,15.01,3.83,29.46,0.0789,0.703,-64.5,7.28,-1.34,10.56,7.61,0.4048,0.1963,0.96,0.159,0.255,40604300.0,1556800000.0,3.04,0.0911,0.4048
307,TIET3,3.01,15.13,3.86,29.7,0.0783,0.708,-65.02,7.34,-1.35,10.61,7.65,0.4048,0.1963,0.96,0.159,0.255,1352610.0,1556800000.0,3.04,0.0911,0.4048
308,GEPA4,45.85,15.22,2.46,30.53,0.0723,0.956,-16.21,8.26,-3.35,8.3,5.85,0.3695,0.2006,0.85,0.2401,0.1616,37136.5,1760330000.0,0.72,0.0177,0.3695
309,COCE3,79.02,16.03,1.96,10.91,0.0269,0.648,-40.07,10.96,-1.73,15.45,10.13,0.0995,0.068,0.95,0.0667,0.1221,19601.3,3142550000.0,0.91,0.0957,0.0995
310,ENGI4,7.85,16.93,2.33,7.26,0.015300000000000001,0.339,21.64,6.36,-0.6,13.19,8.61,0.1141,0.0459,1.06,0.0612,0.1374,209380.0,6121330000.0,3.12,0.1436,0.1141
311,ENGI11,44.35,19.13,2.63,8.2,0.013500000000000002,0.383,24.45,7.19,-0.67,14.01,9.15,0.1141,0.0459,1.06,0.0612,0.1374,84277000.0,6121330000.0,3.12,0.1436,0.1141
