,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
371,BPAC5,1772,1966.0,188.0,0.0,"2,24%",0,0.0,0,0.0,0,0,"0,00%","0,00%",0,"0,00%","9,56%",296.02800,25.573.200.00000,0,"68,38%"
372,MERC4,1220,2017.0,89.0,0.0,"4,05%",0,0.0,0,0.0,0,0,"0,00%","0,00%",0,"0,00%","4,41%",75.17960,246.977.00000,0,"-15,54%"
373,BRGE5,1700,2334.0,102.0,33711.0,"0,00%",161,264.0,-287,-191.0,114,115,"-1.172,58%","227,65%",110,"-7,21%","4,38%",64254,1.224.080.00000,0,"4,52%"
374,BPAC11,8065,2983.0,285.0,0.0,"1,48%",0,0.0,0,0.0,0,0,"0,00%","0,00%",0,"0,00%","9,56%",323.886.00000,25.573.200.00000,0,"68,38%"
375,MERC3,2101,3474.0,153.0,0.0,"0,00%",0,0.0,0,0.0,0,0,"0,00%","0,00%",0,"0,00%","4,41%",6.80667,246.977.00000,0,"-15,54%"
376,BMIN4,1894,4432.0,74.0,0.0,"7,39%",0,0.0,0,0.0,0,0,"0,00%","0,00%",0,"0,00%","1,67%",28.82420,123.747.00000,0,"-19,66%"
377,BMIN3,2025,4738.0,79.0,0.0,"0,00%",0,0.0,0,0.0,0,0,"0,00%","0,00%",0,"0,00%","1,67%",96.64930,123.747.00000,0,"-19,66%"
378,BPAC3,4900,5437.0,520.0,0.0,"0,81%",0,0.0,0,0.0,0,0,"0,00%","0,00%",0,"0,00%","9,56%",509.86400,25.573.200.00000,0,"68,38%"
379,BRGE6,4499,6176.0,271.0,89214.0,"1,57%",425,699.0,-761,-505.0,-359,-360,"-1.172,58%","227,65%",110,"-7,21%","4,38%",2.33193,1.224.080.00000,0,"4,52%"
380,BIDI3,1914,55670.0,640.0,0.0,"0,49%",0,0.0,0,0.0,0,0,"0,00%","0,00%",0,"0,00%","1,15%",5.296.19000,2.115.160.00000,0,"15,58%"
381,BIDI11,6041,58569.0,673.0,0.0,"0,46%",0,0.0,0,0.0,0,0,"0,00%","0,00%",0,"0,00%","1,15%",35.568.50000,2.115.160.00000,0,"15,58%"
382,BIDI4,2071,60236.0,692.0,0.0,"0,45%",0,0.0,0,0.0,0,0,"0,00%","0,00%",0,"0,00%","1,15%",35.257.60000,2.115.160.00000,0,"15,58%"
383,CIEL3,474,1851.0,141.0,1195.0,"1,64%",176,202.0,1137,-347.0,1310,652,"10,51%","6,45%",112,"7,75%","7,61%",301.258.00000,9.145.920.00000,95,"-5,18%"
384,B3SA3,6050,3695.0,488.0,16412.0,"2,39%",2819,2914.0,2927,-3565.0,2755,2222,"56,08%","44,39%",139,"14,19%","13,20%",694.589.00000,25.545.600.00000,26,"35,69%"
385,APER3,2812,-9181.0,184.0,3417.0,"0,19%",1238,511.0,-10274,1901.0,-7859,8138,"-3,33%","-3,72%",263,"-1,76%","-2,00%",2.095.69000,175.788.00000,0,"-12,22%"
386,PEAB3,6000,-3543.0,162.0,7067.0,"6,04%",1221,387.0,-5588,626.0,-4849,-4849,"-12,65%","-20,21%",355,"-2,70%","-4,58%",1.40612,475.574.00000,0,"-16,38%"
387,PEAB4,6000,-3543.0,162.0,7067.0,"6,65%",1221,387.0,-5588,626.0,-4849,-4849,"-12,65%","-20,21%",355,"-2,70%","-4,58%",27907,475.574.00000,0,"-16,38%"
388,BBSE3,2633,0.0,0.0,0.0,"15,71%",0,0.0,0,0.0,0,0,"0,00%","0,00%",0,"0,00%","0,00%",116.474.00000,000,0,"0,00%"
389,CSAB3,5000,0.0,0.0,0.0,"6,21%",0,0.0,0,0.0,0,0,"0,00%","0,00%",0,"0,00%","0,00%",14.66290,000,0,"0,00%"
390,IRBR3,769,0.0,0.0,0.0,"6,15%",0,0.0,0,0.0,0,0,"0,00%","0,00%",0,"0,00%","0,00%",407.450.00000,000,0,"0,00%"
391,WIZS3,1069,887.0,630.0,2507.0,"6,26%",2603,-5898.0,443,-1110.0,412,364,"56,55%","29,05%",88,"77,62%","71,01%",10.228.20000,271.409.00000,0,"16,06%"
392,PSSA3,5603,1144.0,213.0,1003.0,"3,96%",548,245.0,126,2669.0,31,31,"79,49%","8,78%",141,"73,99%","18,64%",48.166.20000,8.496.540.00000,0,"3,40%"
393,SULA4,1316,1219.0,208.0,726.0,"2,98%",546,159.0,1262,-2130.0,214,197,"5,75%","5,95%",193,"9,21%","17,04%",162.72900,7.490.030.00000,29,"8,38%"
394,SULA11,4462,1378.0,235.0,820.0,"2,64%",618,180.0,1426,-2408.0,379,347,"5,75%","5,95%",193,"9,21%","17,04%",151.574.00000,7.490.030.00000,29,"8,38%"
395,SULA3,1814,1681.0,286.0,1000.0,"2,16%",753,219.0,1739,-2937.0,692,635,"5,75%","5,95%",193,"9,21%","17,04%",133.03100,7.490.030.00000,29,"8,38%"
396,GSHP3,4800,-19.0,-19.0,870.0,"0,00%",53,69.0,576,-5.0,9967,8680,"15,12%","-459,20%",147,"1,10%","101,57%",46.27790,-481.154.00000,-370,"-19,49%"
397,BRPR3,926,997.0,64.0,13615.0,"0,92%",459,336.0,2091,-369.0,2323,2323,"65,10%","136,56%",943,"2,52%","6,37%",28.484.50000,7.166.500.00000,25,"-11,78%"
398,IGTA3,3347,2315.0,195.0,8355.0,"1,25%",946,724.0,1638,-326.0,2106,1518,"51,01%","36,39%",244,"7,09%","8,40%",73.080.50000,3.039.080.00000,93,"2,39%"
399,MULT3,2151,2522.0,220.0,10267.0,"1,33%",1228,1873.0,1605,-430.0,1907,1483,"63,98%","40,65%",173,"8,63%","8,71%",126.855.00000,5.884.370.00000,60,"4,13%"
400,AHEB6,2500,3109.0,985.0,2337.0,"0,00%",797,-1205.0,2637,-108.0,2320,2320,"8,86%","7,52%",73,"3,63%","31,69%",30065,21.683.00000,0,"-19,39%"
401,AGRO3,2100,3225.0,118.0,1986.0,"4,05%",674,478.0,878,-477.0,1245,1078,"22,63%","18,67%",196,"8,44%","3,67%",3.911.98000,1.103.450.00000,57,"15,49%"
402,LOGG3,3183,3256.0,110.0,23878.0,"0,67%",808,635.0,3076,-1138.0,3423,3400,"77,62%","75,82%",304,"3,00%","3,38%",15.197.90000,2.957.040.00000,29,"8,98%"
403,AHEB3,2870,3569.0,1131.0,2683.0,"0,00%",915,-1384.0,3028,-124.0,2710,2710,"8,86%","7,52%",73,"3,63%","31,69%",22.08090,21.683.00000,0,"-19,39%"
404,CCPR3,1531,3787.0,133.0,5198.0,"0,32%",472,389.0,1070,-201.0,1437,1150,"48,58%","26,74%",414,"5,13%","3,50%",4.130.65000,1.830.530.00000,85,"3,52%"
405,BRML3,943,4992.0,78.0,7408.0,"0,00%",441,825.0,1118,-136.0,1417,1369,"66,26%","22,40%",289,"4,23%","1,57%",171.775.00000,10.538.200.00000,32,"-3,90%"
406,SCAR3,3936,5606.0,152.0,7273.0,"0,93%",728,770.0,1465,-221.0,2171,1673,"49,64%","13,31%",202,"5,84%","2,70%",420.85400,1.499.310.00000,104,"-3,85%"
407,ALSO3,2660,7220.0,108.0,7419.0,"0,00%",647,450.0,1547,-471.0,1255,861,"47,97%","12,51%",944,"4,78%","1,49%",47.555.20000,6.576.040.00000,0,"24,49%"
408,MOAR3,19500,-3506.0,273.0,2.66623,"3,14%",1591,645.0,-4975,-9618.0,-4467,-4545,"-5.359,38%","-7.771,76%",261,"-5,03%","-7,78%",86.98230,876.077.00000,34,"-29,83%"
409,BAHI3,12204,-1473.0,274.0,3367.0,"0,00%",650,-1034.0,-2989,-107.0,-2819,-3413,"-11,26%","-22,67%",69,"-2,42%","-18,58%",139.27300,98.985.00000,25,"155,25%"
410,HBTS5,2500,-347.0,98.0,9557.0,"0,20%",184,-162.0,-372,-28.0,-573,-586,"-256,93%","-274,76%",56,"-5,01%","-28,16%",106.16800,233.449.00000,55,"-21,45%"
411,GPIV33,556,-347.0,41.0,-2869.0,"0,00%",193,76.0,-138,236.0,44,44,"207,67%","248,15%",1605,"-18,93%","-11,83%",370.30500,1.485.140.00000,0,"-10,62%"
412,JBDU3,255,-295.0,19.0,0.0,"0,00%",67,0.0,-376,0.0,-511,-511,"0,00%","0,00%",0,"0,00%","-6,42%",22.08340,67.653.00000,0,"0,00%"
413,JBDU4,137,-158.0,10.0,0.0,"0,00%",36,0.0,-202,0.0,-337,-337,"0,00%","0,00%",0,"0,00%","-6,42%",78.13970,67.653.00000,0,"0,00%"
414,BTTL3,805,617.0,1220.0,622.0,"0,00%",878,-2910.0,814,-160.0,1050,1050,"7,64%","10,09%",93,"12,61%","197,68%",111.57800,9.807.00000,427,"-2,65%"
415,BRAP3,4001,4379.0,127.0,0.0,"1,82%",1213,0.0,-77412,0.0,-77579,-77579,"0,00%","0,00%",0,"0,00%","2,90%",666.01600,10.969.800.00000,0,"0,00%"
416,BRAP4,4477,4900.0,142.0,0.0,"1,79%",1357,0.0,-86622,0.0,-86789,-86789,"0,00%","0,00%",0,"0,00%","2,90%",103.539.00000,10.969.800.00000,0,"0,00%"
417,UGPA3,1960,9372.0,240.0,260.0,"1,22%",641,238.0,1366,-245.0,2152,1233,"1,90%","0,31%",241,"6,51%","2,56%",122.956.00000,9.116.420.00000,214,"3,02%"
418,MAPT4,4700,-23475.0,-764.0,0.0,"0,00%",55877,0.0,-26662,0.0,-26662,-26662,"0,00%","0,00%",0,"0,00%","3,25%",32.80480,-5.657.00000,0,"0,00%"
419,TELB3,16198,-17371.0,684.0,44585.0,"0,00%",2573,1121.0,-4061,-767.0,-3846,-13111,"-109,80%","-25,67%",488,"-8,13%","-3,94%",383.64100,1.606.030.00000,18,"27,57%"
420,TELB4,3835,-4113.0,162.0,10556.0,"0,00%",609,265.0,-961,-182.0,-747,-2547,"-109,80%","-25,67%",488,"-8,13%","-3,94%",2.801.66000,1.606.030.00000,18,"27,57%"
421,TESA3,1736,-302.0,49.0,320.0,"0,00%",154,-1467.0,216,-38.0,767,561,"14,80%","-10,59%",96,"8,14%","-16,16%",1.047.14000,769.534.00000,125,"9,81%"
422,FRTA3,470,1412.0,-14.0,892.0,"0,00%",267,-12.0,-370,-10.0,-2858,-4142,"-24,12%","6,32%",7,"-8,49%","-0,99%",30.28700,-67.585.00000,-95,"-36,82%"
423,SLCE3,2473,1413.0,165.0,1395.0,"3,19%",615,351.0,822,-447.0,1096,915,"16,96%","10,19%",161,"8,87%","11,66%",28.594.40000,2.859.830.00000,86,"21,03%"
