,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
270,ELET5,3901,711.0,81.0,1873.0,"0,00%",332,291.0,456,-102.0,710,623,"41,06%","26,74%",180,"8,20%","11,36%",5.55635,75.808.300.00000,68,"-17,15%"
271,TAEE11,2817,726.0,179.0,3927.0,"8,57%",717,366.0,683,-227.0,1057,1047,"57,48%","54,12%",323,"11,88%","24,70%",73.579.60000,5.412.410.00000,126,"14,47%"
272,TAEE3,942,728.0,180.0,3939.0,"8,54%",719,367.0,685,-227.0,1059,1049,"57,48%","54,12%",323,"11,88%","24,70%",677.77400,5.412.410.00000,126,"14,47%"
273,TAEE4,950,734.0,181.0,3973.0,"8,47%",725,370.0,691,-229.0,1065,1055,"57,48%","54,12%",323,"11,88%","24,70%",1.182.98000,5.412.410.00000,126,"14,47%"
274,CESP5,3500,756.0,160.0,6392.0,"5,29%",896,2749.0,1774,-257.0,1929,1182,"36,04%","84,58%",156,"5,39%","21,14%",16.51480,7.176.750.00000,25,"-4,60%"
275,CESP3,3576,772.0,163.0,6530.0,"5,17%",915,2809.0,1812,-263.0,1968,1206,"36,04%","84,58%",156,"5,39%","21,14%",447.59800,7.176.750.00000,25,"-4,60%"
276,TRPL3,2611,774.0,133.0,4370.0,"5,09%",767,549.0,634,-415.0,717,712,"68,88%","57,10%",271,"13,29%","17,16%",106.50200,12.947.300.00000,32,"14,59%"
277,ENBR3,1730,799.0,112.0,675.0,"3,37%",386,655.0,435,-109.0,683,540,"15,54%","9,26%",129,"10,53%","14,05%",43.167.30000,9.346.000.00000,91,"13,26%"
278,EKTR4,2089,817.0,142.0,613.0,"0,00%",457,1965.0,388,-133.0,741,611,"15,80%","7,51%",107,"13,86%","17,35%",7.67167,2.857.000.00000,155,"8,95%"
279,EQTL3,2378,888.0,268.0,1282.0,"1,35%",593,487.0,448,-140.0,664,587,"28,58%","16,20%",165,"16,29%","30,13%",166.364.00000,8.983.150.00000,195,"27,83%"
280,CEBR3,6750,918.0,123.0,352.0,"2,47%",274,717.0,585,-104.0,627,464,"6,02%","4,96%",109,"5,65%","13,34%",53.63970,794.301.00000,58,"5,48%"
281,CSRN6,1673,939.0,231.0,1109.0,"1,08%",629,629.0,627,-128.0,957,785,"17,70%","11,81%",174,"11,48%","24,56%",11963,1.219.000.00000,150,"11,46%"
282,CEBR6,6990,951.0,127.0,365.0,"2,63%",283,743.0,605,-108.0,648,480,"6,02%","4,96%",109,"5,65%","13,34%",17.76440,794.301.00000,58,"5,48%"
283,CBEE3,1620,968.0,73.0,457.0,"0,00%",241,-733.0,507,-59.0,1307,718,"9,02%","4,72%",89,"5,29%","7,58%",12.27300,3.678.530.00000,124,"6,45%"
